Thread,Block,Number of step,Seed,Test kerkel,"Mean of result of Test kernel
in float_st (MoT)","Significant digits
of MoT",Reference kernel,"Mean of result of Reference kernel 
in double_st (MoR)","Significant digits 
of MoR","Mean of absolute error of 
two kernel results in double_st (MEAN)","Significant digits
of MEAN","Similar Representation Part 
of MoR and MoT (SRP)","Number of Similar Digits
in fractional part of MoR and MoT 
without exponent (NSD)"
64,512,N,2,1,-0.94449E+002,5,8,-0.944495209071064E+002,15,0.475090049206983E-003,15,-0.94449,5
64,512,N,3,1,-0.12072E+003,5,8,-0.120728547775728E+003,15,0.459396822407143E-003,15,-0.12072,5
64,512,N,4,1,-0.1307E+002,4,8,-0.130798596802633E+002,15,0.466929205384047E-003,15,-0.1307,4
64,512,N,5,1,0.12862E+003,5,8,0.128627720266937E+003,15,0.463733713928604E-003,15,0.12862,5
64,512,N,6,1,0.15766E+003,5,8,0.157668878098455E+003,15,0.463942560372743E-003,15,0.15766,5
64,512,N,7,1,0.27293E+003,5,8,0.272934585153896E+003,15,0.473439853521995E-003,15,0.27293,5
64,512,N,8,1,-0.22657E+003,5,8,-0.226571982118515E+003,15,0.489605494919942E-003,15,-0.22657,5
64,512,N,9,1,-0.96378E+002,5,8,-0.963788888950366E+002,15,0.481098812684876E-003,15,-0.96378,5
64,512,N,10,1,-0.10327E+003,5,8,-0.103270968573557E+003,15,0.450588531151652E-003,15,-0.10327,5
128,256,1,1,1,0.14157E+003,5,8,0.141574384913979E+003,15,0.464532634708803E-003,15,0.14157,5
128,256,1,2,1,-0.94451E+002,5,8,-0.944515437528662E+002,15,0.432913022450520E-003,15,-0.94451,5
128,256,1,3,1,-0.12072E+003,5,8,-0.120726427593710E+003,15,0.444927694843499E-003,15,-0.12072,5
128,256,1,4,1,-0.1308E+002,4,8,-0.130821606731842E+002,15,0.451129320328647E-003,15,-0.1308,4
128,256,1,5,1,0.12863E+003,5,8,0.128629984260314E+003,15,0.468213643529225E-003,15,0.1286,4
128,256,1,6,1,0.15766E+003,5,8,0.157666582364970E+003,15,0.460685160135199E-003,15,0.15766,5
128,256,1,7,1,0.27293E+003,5,8,0.272936606664996E+003,15,0.466088909888640E-003,15,0.27293,5
128,256,1,8,1,-0.22657E+003,5,8,-0.226574426500749E+003,15,0.472236426787731E-003,15,-0.22657,5
128,256,1,9,1,-0.96375E+002,5,8,-0.963759972646730E+002,15,0.427603214731675E-003,15,-0.96375,5
128,256,1,10,1,-0.10327E+003,5,8,-0.103273154132391E+003,15,0.428709214844502E-003,15,-0.10327,5
128,256,N,1,1,0.14157E+003,5,8,0.141572039192122E+003,15,0.480746028785006E-003,15,0.14157,5
128,256,N,2,1,-0.94449E+002,5,8,-0.944495209071064E+002,15,0.495435101285579E-003,15,-0.94449,5
128,256,N,3,1,-0.12072E+003,5,8,-0.120728547775728E+003,15,0.459396822407143E-003,15,-0.12072,5
128,256,N,4,1,-0.1307E+002,4,8,-0.130798596802633E+002,15,0.486002691712172E-003,15,-0.1307,4
128,256,N,5,1,0.12862E+003,5,8,0.128627720266937E+003,15,0.463733713928604E-003,15,0.12862,5
128,256,N,6,1,0.15766E+003,5,8,0.157668878098455E+003,15,0.484287612465550E-003,15,0.15766,5
128,256,N,7,1,0.27293E+003,5,8,0.272934585153896E+003,15,0.473439853521995E-003,15,0.27293,5
128,256,N,8,1,-0.22657E+003,5,8,-0.226571982118515E+003,15,0.489605494919942E-003,15,-0.22657,5
128,256,N,9,1,-0.96378E+002,5,8,-0.963788888950366E+002,15,0.470926286652684E-003,15,-0.96378,5
