date,symbol,open,close,low,high,volume
04-01-2010,OXY,82.660006,83.100005,82.200005,83.510002,3624100
04-01-2010,PAYX,31.139999,30.82,30.73,31.15,3731300
04-01-2010,PBCT,16.799999,16.75,16.690001,17.0,2932200
04-01-2010,PBI,22.879999,22.92,22.65,22.99,2040000
04-01-2010,PCAR,36.990002,36.610001,36.32,37.0,2631700
04-01-2010,PCG,44.950001,44.5,44.450001,45.119999,2041800
04-01-2010,PCLN,222.320007,223.960007,221.580002,225.300003,863200
04-01-2010,PDCO,29.459999,28.809999,28.65,29.459999,1519900
04-01-2010,PEG,33.139999,33.630001,32.889999,33.639999,5130400
04-01-2010,PEP,61.189999,61.240002,60.639999,61.52,6585900
04-01-2010,PFE,18.27,18.93,18.24,18.940001,52086000
04-01-2010,PFG,24.110001,25.0,24.1,25.030001,3470900
04-01-2010,PG,61.110001,61.119999,60.630001,61.310001,9190800
04-01-2010,PGR,17.99,18.030001,17.870001,18.09,4619400
04-01-2010,PH,54.66,54.52,54.169998,55.040001,961000
04-01-2010,PHM,10.02,10.24,9.99,10.26,6121300
04-01-2010,PKI,20.76,20.639999,20.280001,20.809999,1880200
04-01-2010,PLD,25.76,25.370001,25.25,26.030001,1169700
04-01-2010,PM,48.330002,49.349998,48.25,49.59,7844500
04-01-2010,PNC,53.740002,53.509998,53.200001,54.099998,4890300
04-01-2010,PNR,32.389999,33.380001,32.380001,33.720001,712500
04-01-2010,PNW,36.66,36.880001,36.59,37.09,873500
04-01-2010,PPG,59.299999,60.599998,58.990002,60.639999,2413400
04-01-2010,PPL,32.599998,32.470001,32.32,32.77,1126800
04-01-2010,PRGO,40.259998,40.349998,40.259998,40.630001,546500
04-01-2010,PRU,50.43,51.77,50.189999,51.900002,3001500
04-01-2010,PSA,81.760002,80.129997,79.510002,82.129997,1579100
04-01-2010,PVH,40.919998,41.099998,40.52,41.549999,540500
04-01-2010,PWR,21.120001,21.24,21.0,21.280001,2460200
04-01-2010,PX,80.910004,81.559998,80.849998,81.779999,1233000
04-01-2010,PXD,49.380001,50.98,49.380001,51.150002,1524100
04-01-2010,QCOM,46.790001,46.939999,46.57,47.310001,14570200
04-01-2010,R,41.540001,41.549999,41.130001,42.080002,640700
04-01-2010,RAI,53.330002,53.240002,53.0,53.52,3252000
04-01-2010,RCL,26.139999,25.799999,25.719999,26.280001,2792600
04-01-2010,REGN,24.24,24.629999,23.969999,24.85,510300
04-01-2010,RF,5.36,5.42,5.33,5.47,11754800
04-01-2010,RHI,26.82,27.120001,26.040001,27.440001,1018900
04-01-2010,RHT,31.23,31.120001,31.030001,31.5,2060800
04-01-2010,RIG,84.480003,86.779999,84.480003,87.160004,3964700
04-01-2010,RL,81.839996,81.559998,80.18,81.900002,899700
04-01-2010,ROK,47.610001,47.73,47.009998,47.959999,904000
04-01-2010,ROP,53.02,52.540001,52.380001,53.240002,927900
04-01-2010,ROST,42.77,42.689999,42.299999,42.93,15743600
04-01-2010,RRC,51.150002,52.599998,51.060001,52.68,2244000
04-01-2010,RSG,28.58,28.68,28.370001,28.780001,1425500
04-01-2010,RTN,51.919998,52.209999,51.700001,52.25,1897000
04-01-2010,SBUX,23.32,23.049999,22.91,23.33,16370000
04-01-2010,SCG,37.959999,37.59,37.389999,38.16,866800
04-01-2010,SCHW,19.209999,19.780001,18.91,19.85,14023600
04-01-2010,SE,20.66,20.809999,20.610001,20.809999,3100900
04-01-2010,SEE,22.01,22.02,21.92,22.1,920400
04-01-2010,SHW,62.139999,61.669998,61.169998,62.139999,1338000
04-01-2010,SIG,26.98,27.120001,26.620001,27.219999,294700
04-01-2010,SJM,62.200001,62.18,61.419998,62.290001,773700
04-01-2010,SLB,66.389999,67.110001,66.120003,67.199997,5771300
04-01-2010,SLG,50.68,48.93,48.580002,51.25,2415600
04-01-2010,SNA,42.740002,42.860001,42.509998,43.060001,268000
04-01-2010,SNI,41.700001,41.91,40.610001,41.91,1323500
04-01-2010,SO,33.43,33.25,33.169998,33.560001,5119300
04-01-2010,SPG,80.489994,78.919994,78.449993,81.150005,3450400
04-01-2010,SPGI,33.919998,33.610001,33.380001,33.919998,1572200
04-01-2010,SPLS,24.620001,24.5,24.459999,24.85,4008800
04-01-2010,SRCL,55.560001,55.16,55.080002,55.900002,465900
04-01-2010,SRE,56.400002,55.900002,55.799999,56.610001,2081200
04-01-2010,STI,20.65,20.440001,20.209999,20.690001,6668600
04-01-2010,STT,43.810001,44.459999,43.549999,44.779999,3440300
04-01-2010,STX,18.57,18.889999,18.4,18.969999,11116900
04-01-2010,STZ,16.02,16.120001,15.89,16.17,1418700
04-01-2010,SWK,51.740002,52.709999,51.619999,53.0,2033000
04-01-2010,SWKS,14.45,14.82,14.42,14.9,4911500
04-01-2010,SWN,49.689999,50.830002,48.84,50.830002,3473200
04-01-2010,SYK,51.279999,52.16,50.830002,52.27,3982800
04-01-2010,SYMC,18.040001,18.4,18.01,18.530001,8322300
